Student_ID,Name,Age,Gender,Department,Semester,Attendance,Marks,CGPA,City,DateTime
167,Akash,21.0,Female,Electronics,5,94.0,74.0,7.77,Pune,2026-06-27 06:24:38
168,Aditya,19.0,Female,Computer,5,66.0,63.0,7.74,Kolhapur,2026-06-27 06:24:38
169,Karan,21.0,Male,IT,3,70.0,54.0,8.84,Nagpur,2026-06-27 06:24:38
170,Riya,19.0,Female,Computer,5,79.0,76.0,9.41,Kolhapur,2026-06-27 06:24:38
999,Rahul,19.0,Male,Computer,3,92.0,85.0,8.4,Mumbai,2026-06-27 06:24:38
172,Arjun,20.0,Female,Mechanical,3,86.0,45.0,7.23,Navi Mumbai,2026-06-27 06:24:38
173,Meena,18.0,Male,Computer,5,81.0,68.0,6.25,Aurangabad,2026-06-27 06:24:38
174,Nisha,18.0,Female,Civil,5,68.0,62.0,6.39,Nagpur,2026-06-27 06:24:38
175,Rohit,19.0,Female,Civil,5,77.0,94.0,7.42,Aurangabad,2026-06-27 06:24:38
176,Rahul,21.0,Male,Computer,3,91.0,73.0,8.34,Nashik,2026-06-27 06:24:38
177,Anjali,21.0,Male,Electronics,3,75.0,75.0,7.58,Nagpur,2026-06-27 06:24:38
178,Anjali,20.0,Female,Civil,3,84.0,75.0,8.12,Aurangabad,2026-06-27 06:24:38
179,Sneha,19.0,Male,Computer,3,97.0,96.0,7.89,Thane,2026-06-27 06:24:38
180,Ayush,20.0,Female,Civil,3,100.0,57.0,6.93,Nashik1,2026-06-27 06:24:38
181,Vikram,22.0,Male,Mechanical,3,88.0,61.0,9.08,Thane,2026-06-27 06:24:38
182,Rahul,21.0,Female,Civil,3,89.0,62.0,7.29,Mumbai,2026-06-27 06:24:38
183,Bhavesh,20.0,Female,IT,3,70.0,62.0,9.41,Aurangabad,2026-06-27 06:24:38
184,Meena,21.0,Female,Mechanical,3,73.0,47.0,7.62,Kolhapur,2026-06-27 06:24:38
185,Nisha,21.0,Male,Computer,5,98.0,74.0,9.69,Thane,2026-06-27 06:24:38
186,Sneha,19.0,Male,IT,3,94.0,50.0,8.1,Mumbai,2026-06-27 06:24:38
187,Rahul,19.0,Male,Electronics,3,84.0,53.0,8.38,Aurangabad,2026-06-27 06:24:38
188,Sneha,18.0,Male,Mechanical,3,89.0,61.0,6.85,Mumbai,2026-06-27 06:24:38
189,Rahul,22.0,Female,Civil,5,85.0,86.0,9.19,Thane,2026-06-27 06:24:38
190,Bhavesh,22.0,Male,Electronics,3,66.0,71.0,8.68,Nagpur,2026-06-27 06:24:38
191,Priya,18.0,Male,Civil,5,70.0,61.0,6.87,Aurangabad,2026-06-27 06:24:38
192,Riya,19.0,Female,Computer,5,91.0,68.0,8.59,Thane,2026-06-27 06:24:38
193,Rahul,20.0,Male,IT,5,77.0,64.0,8.91,Thane,2026-06-27 06:24:38
194,Pooja,21.0,Male,Mechanical,5,71.0,84.0,7.88,Nashik,2026-06-27 06:24:38
195,Pooja,21.0,Female,Computer,3,90.0,48.0,6.81,Nashik,2026-06-27 06:24:38
196,Arjun,18.0,Male,IT,5,93.0,90.0,9.36,Pune,2026-06-27 06:24:38
197,Aman,19.0,Female,IT,3,98.0,92.0,7.78,Nagpur,2026-06-27 06:24:38
198,Meena,20.0,Female,Civil,3,71.0,45.0,6.3,Pune,2026-06-27 06:24:38
199,Riya,21.0,Male,Electronics,3,89.0,67.0,8.92,Nagpur,2026-06-27 06:24:38
200,Arjun,18.0,Male,Civil,3,88.0,79.0,9.49,Thane,2026-06-27 06:24:38
